Mount Everest,8848,29029,Himalayas  ,Nepal/China
Lhotse,8516,27940,Himalayas  ,Nepal – Climbers ascend Lhotse Face in climbing Everest
Nuptse,7861,25791,Himalayas  ,"Everest Massif, Nepal"
Changtse,7583,24879,Himalayas  ,"Everest Massif, China"
Khumbutse,6640,21785,"Himalayas, Nepal (Khumbu)/China – First peak west of Everest",
Pokalde,5745,18848,Khumbu Himalayas  ,Nepal – 7 km SW of Everest
