Kangchenjunga,8586,28169,Himalayas  ,Nepal/India
Jannu,7710,25295,Himalayas  ,"Kangchenjunga, Nepal"
Siniolchu,6888,22598,"Kangchenjunga Himalaya, India (Sikkim)",
